,"FIleName","Condition","Repetition","Batch","Path"
1,"200793810038_A_Grn.idat","Healthy",1,1,"/home/agata/Documents/Work/Parkinson-microarrays/200793810038"
2,"200793810038_B_Grn.idat","Healthy",2,1,"/home/agata/Documents/Work/Parkinson-microarrays/200793810038"
3,"200793810038_C_Grn.idat","Healthy",3,1,"/home/agata/Documents/Work/Parkinson-microarrays/200793810038"
4,"200793810038_D_Grn.idat","Healthy",4,1,"/home/agata/Documents/Work/Parkinson-microarrays/200793810038"
5,"200793810038_E_Grn.idat","Healthy",5,1,"/home/agata/Documents/Work/Parkinson-microarrays/200793810038"
6,"200793810038_F_Grn.idat","Patient",1,1,"/home/agata/Documents/Work/Parkinson-microarrays/200793810038"
7,"200793810038_G_Grn.idat","Patient",2,1,"/home/agata/Documents/Work/Parkinson-microarrays/200793810038"
8,"200793810038_H_Grn.idat","Patient",3,1,"/home/agata/Documents/Work/Parkinson-microarrays/200793810038"
9,"200793810038_I_Grn.idat","Patient",4,1,"/home/agata/Documents/Work/Parkinson-microarrays/200793810038"
10,"200793810038_J_Grn.idat","Patient",5,1,"/home/agata/Documents/Work/Parkinson-microarrays/200793810038"
11,"200793810038_K_Grn.idat","Patient",6,1,"/home/agata/Documents/Work/Parkinson-microarrays/200793810038"
12,"200793810038_L_Grn.idat","Patient",7,1,"/home/agata/Documents/Work/Parkinson-microarrays/200793810038"
13,"200793810069_A_Grn.idat","Healthy",6,1,"/home/agata/Documents/Work/Parkinson-microarrays/200793810038"
14,"200793810069_B_Grn.idat","Healthy",7,1,"/home/agata/Documents/Work/Parkinson-microarrays/200793810038"
