;Group;Condition;Repetition;Batch;Sample
1;CMV_PNSL_10.1;CMV_PNSL;1;1;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch1
2;CMV_PNSL_12.1;CMV_PNSL;2;1;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch1
3;CMV_PNSL_12.2;CMV_PNSL;3;1;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch1
4;CMV_PNSL_9.3;CMV_PNSL;4;1;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch1
5;CMV_SHAM_11.1;CMV_SHAM;1;1;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch1
6;CMV_SHAM_11.2;CMV_SHAM;2;1;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch1
7;CMV_SHAM_9.1;CMV_SHAM;3;1;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch1
8;CMV_SHAM_9.2;CMV_SHAM;4;1;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch1
9;DLX_PNSL_13.3;DLX_PNSL;1;1;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch1
10;DLX_PNSL_15.3;DLX_PNSL;2;1;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch1
11;DLX_PNSL_7.1;DLX_PNSL;3;1;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch1
12;DLX_PNSL_7.2;DLX_PNSL;4;1;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch1
13;DLX_SHAM_14.3;DLX_SHAM;1;1;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch1
14;DLX_SHAM_5.2;DLX_SHAM;2;1;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch1
15;DLX_SHAM_6.2;DLX_SHAM;3;1;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch1
16;DLX_SHAM_6.3;DLX_SHAM;4;1;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch1
17;WT_PNSL_13.1;WTP_PNSL;1;1;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch1
18;WT_PNSL_2.3;WTP_PNSL;2;1;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch1
19;WT_PNSL_2.4;WTP_PNSL;3;1;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch1
20;WT_PNSL_8.2;WTP_PNSL;4;1;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch1
21;WT_SHAM_14.2;WTP_SHAM;1;1;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch1
22;WT_SHAM_14.4;WTP_SHAM;2;1;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch1
23;WT_SHAM_4.4;WTP_SHAM;3;1;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch1
24;WT_SHAM_5.1;WTP_SHAM;4;1;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch1
